jarvis_id,dimensionality,formula,elements,n_elements,gap_selected_eV,gap_method_selected,cutoff_wavelength_um_from_gap,cutoff_region,optb88vdw_bandgap_eV,mbj_bandgap_eV,hse_bandgap_eV,formation_energy_eV_per_atom,energy_above_hull_eV_per_atom,density_g_cm3,space_group_number,space_group_symbol,crystal_system,dielectric_x,dielectric_y,dielectric_z,dielectric_mean,avg_electron_mass_m0,avg_hole_mass_m0,bulk_modulus_GPa,shear_modulus_GPa,exfoliation_energy_meV_per_atom,max_IR_mode_cm-1,min_IR_mode_cm-1,spillage,icsd_ids,jarvis_url,source_dataset_doi,source_archive,source_type,evidence_scope,candidate_warning
JVASP-114829,3D,CrNO3,Cr;N;O,3,0.154,OptB88vdW,8.050922,LWIR (8-15 um),0.154,,,-0.40912,3.5758,3.732,160,R3m,trigonal,11.2367,11.2367,8.5523,10.3419,,,,,,,,,,https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-114829,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-159527,3D,Er6IrI10,Er;I;Ir,3,0.154,TBmBJ,8.050922,LWIR (8-15 um),0.0,0.154,,-1.31402,0.6309,6.617,2,P-1,triclinic,,,,,,,22.28,14.19,,,,,,https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-159527,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-144044,3D,Li2MnP2O7,Li;Mn;O;P,4,0.154,OptB88vdW,8.050922,LWIR (8-15 um),0.154,,,-2.2566,2.7046,2.847,15,C2/c,monoclinic,,,,,,,,,,,,,,https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-144044,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-147444,3D,Li2VO2F2,F;Li;O;V,4,0.154,OptB88vdW,8.050922,LWIR (8-15 um),0.154,,,-2.78461,1.2763,3.223,7,Pc,monoclinic,,,,,,,,,,,,,,https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-147444,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-122013,3D,Li4MnCo2O7,Co;Li;Mn;O,4,0.154,OptB88vdW,8.050922,LWIR (8-15 um),0.154,,,-1.87482,2.555,4.53,5,C2,monoclinic,,,,,,,,,,,,,,https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-122013,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-145896,3D,Li4MnCo2O7,Co;Li;Mn;O,4,0.154,OptB88vdW,8.050922,LWIR (8-15 um),0.154,,,-1.87424,2.5551,4.529,5,C2,monoclinic,,,,,,,,,,,,,,https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-145896,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-46716,3D,LiMn2P2O8,Li;Mn;O;P,4,0.154,OptB88vdW,8.050922,LWIR (8-15 um),0.154,,,-2.07327,3.0919,2.989,5,C2,monoclinic,27.4487,27.3419,24.6064,26.465666666666664,0.0,0.0,,,,,,,,https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-46716,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-43476,3D,LiNbCuO4,Cu;Li;Nb;O,4,0.154,OptB88vdW,8.050922,LWIR (8-15 um),0.154,,,-2.00084,2.2252,4.643,95,P4_322,tetragonal,32.8986,32.8986,13.3372,26.378133333333334,0.0,0.0,,,,,,,,https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-43476,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-19026,3D,Na8SnSb4,Na;Sb;Sn,3,0.154,OptB88vdW,8.050922,LWIR (8-15 um),0.154,,,-0.43893,0.0802,3.222,227,Fd-3m,cubic,,,,,0.0,0.0,,,,,,0.28,"76496,655768",https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-19026,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-167160,3D,Nb2O3F2,F;Nb;O,3,0.154,OptB88vdW,8.050922,LWIR (8-15 um),0.154,,,-2.79187,2.5223,4.883,2,P-1,triclinic,,,,,,,,,,,,,,https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-167160,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
