property,label,available_n,total_n,coverage_percent,median,q25,q75,minimum,maximum,target,target_robust_z
gap_selected_eV,Band gap,11240,11240,100.0,0.669,0.347,1.06325,0.083,1.549,0.35,-0.4453752181500873
cutoff_wavelength_um_from_gap,Cutoff wavelength,11240,11240,100.0,1.853277,1.166087,3.573032,0.800414,14.937855,nan,nan
formation_energy_eV_per_atom,Formation energy,11240,11240,100.0,-1.118265,-1.9713,-0.47986,-4.07712,5.35967,-1.2,-0.05480274097516486
energy_above_hull_eV_per_atom,Energy above hull,11240,11240,100.0,1.5443,0.5939,2.5515999999999996,0.0,7.1429,0.05,-0.7632936609286409
density_g_cm3,Density,11240,11240,100.0,4.619,3.439,5.99325,0.005,15.3,6.0,0.5406675149261037
dielectric_mean,Mean dielectric,7201,11240,64.06583629893238,11.171133333333332,6.979400000000001,19.8929,0.4343000000000001,283.3082,15.0,0.29650107768356126
avg_electron_mass_m0,Electron mass,2379,11240,21.165480427046262,0.10000000000000002,0.0,0.6316666666666666,0.0,66334446.03666667,0.2,0.158311345646438
avg_hole_mass_m0,Hole mass,2379,11240,21.165480427046262,0.13,0.0,0.9850000000000001,0.0,743432.16,nan,nan
bulk_modulus_GPa,Bulk modulus,3722,11240,33.11387900355872,50.26,27.8925,87.755,-20.08,418.0,nan,nan
shear_modulus_GPa,Shear modulus,3722,11240,33.11387900355872,24.33,11.395,43.23,-24.96,354.46,nan,nan
exfoliation_energy_meV_per_atom,Exfoliation energy,405,11240,3.603202846975089,82.29,67.3,110.97,0.03,1027.61,nan,nan
max_IR_mode_cm-1,Max IR mode,1337,11240,11.895017793594306,1.26,0.3,5.5,0.0,3654.83,nan,nan
min_IR_mode_cm-1,Min IR mode,1340,11240,11.921708185053381,0.0,0.0,0.06,-761.18,554.47,nan,nan
spillage,Spillage,2062,11240,18.345195729537366,0.067,0.02325,0.2055,0.0,3.993,nan,nan
